row,col,lat,lon,population,access_score,access_norm,pop_weight,access_deficit,access_class,color
0,0,9.060145777937478,7.4973741369894,412,132.55847081461417,0.681279212229048,0.00011983899688942176,1.1902255871547032,Medical Desert,#880e4f
0,1,9.060145777937478,7.501922410968201,456,142.0596949791835,0.7996642178523669,0.00013263733636304932,1.3157668304464152,Medical Desert,#880e4f
0,2,9.060145777937478,7.506470684947002,596,152.67122809454557,0.9318836440836513,0.00017335932559731887,1.7174381839658373,Medical Desert,#880e4f
0,3,9.060145777937478,7.511018958925803,462,164.5691683450316,1.0801316697130465,0.00013438256447308945,1.3293105583564306,Medical Desert,#880e4f
0,4,9.060145777937478,7.515567232904604,695,177.97908586401388,1.2472188927272103,0.00020215558941298088,1.9963426670911815,Medical Desert,#880e4f
0,5,9.060145777937478,7.520115506883405,507,193.20409682200486,1.436922132715818,0.00014747177529839039,1.4535272071961889,Medical Desert,#880e4f
0,6,9.060145777937478,7.524663780862206,715,210.66505669230813,1.654485237914704,0.00020797301644644796,2.0453213359049554,Medical Desert,#880e4f
0,7,9.060145777937478,7.529212054841007,762,230.94646387216213,1.9071910431297172,0.0002216439699750956,2.1741679603209345,Medical Desert,#880e4f
0,8,9.060145777937478,7.533760328819808,980,254.82421727744727,2.2047072286438008,0.00028505392463988675,2.787693201578183,Medical Desert,#880e4f
0,9,9.060145777937478,7.538308602798609,878,283.21588794792694,2.5584667057135126,0.0002553850467692046,2.488511053762436,Medical Desert,#880e4f
0,10,9.060145777937478,7.54285687677741,829,316.9240390539563,2.9784693905380575,0.0002411323505372103,2.3395029728577454,Medical Desert,#880e4f
0,11,9.060145777937478,7.5474051507562105,1133,355.9266800709942,3.4644412817544166,0.00032955724144590983,3.1813992432624665,Medical Desert,#880e4f
0,12,9.060145777937478,7.551953424735012,1187,397.91468435161283,3.987610721478743,0.00034526429443627096,3.3149649841389226,Medical Desert,#880e4f
0,13,9.060145777937478,7.556501698713813,865,436.34742801313655,4.466481706488841,0.00025160371919745103,2.403658851066514,Medical Desert,#880e4f
0,14,9.060145777937478,7.561049972692614,1067,460.391002802479,4.766064022129324,0.0003103597322354685,2.955677886982169,Medical Desert,#880e4f
0,15,9.060145777937478,7.5655982466714145,898,460.5013457975831,4.767438892974346,0.0002612024738026717,2.4874980547719203,Medical Desert,#880e4f
0,16,9.060145777937478,7.570146520650216,978,436.68608060685705,4.470701308986112,0.00028447218193654,2.717542803750018,Medical Desert,#880e4f
0,17,9.060145777937478,7.574694794629017,979,398.50973728274346,3.9950250655019865,0.00028476305328821336,2.7338669793206045,Medical Desert,#880e4f
0,18,9.060145777937478,7.579243068607818,751,356.84007583675844,3.475822169205693,0.0002184443851066887,2.1085164674176533,Medical Desert,#880e4f
0,19,9.060145777937478,7.583791342586618,921,318.2666456818176,2.995198234151913,0.00026789251489115883,2.598686030157137,Medical Desert,#880e4f
0,20,9.060145777937478,7.5883396165654196,751,285.1551063895786,2.582629316987949,0.0002184443851066887,2.128027763756093,Medical Desert,#880e4f
0,21,9.060145777937478,7.592887890544221,744,257.5757299713281,2.2389910051441397,0.00021640828564497522,2.1156292359499758,Medical Desert,#880e4f
0,22,9.060145777937478,7.597436164523022,793,234.74726656801866,1.9545489457250504,0.00023066098187696956,2.261526000874942,Medical Desert,#880e4f
0,23,9.060145777937478,7.601984438501822,582,215.73361448019156,1.7176393359369662,0.00016928712667389192,1.6637938439546374,Medical Desert,#880e4f
0,24,9.060145777937478,7.6065327124806235,626,199.70034478614537,1.5178652131488757,0.00018208546614751947,1.793216541986663,Medical Desert,#880e4f
0,25,9.060145777937478,7.611080986459425,805,185.97727453607763,1.346876115261708,0.0002341514380970498,2.309977083037788,Medical Desert,#880e4f
