row,col,lat,lon,population,vulnerability,shake_intensity,damage_ratio,damage_class,casualties,trapped,priority_score
0,0,15.556293244699964,32.53612981468889,939,0.2908221298227036,6.967999097247061,0.17738610086855391,Minor,7,28,49
0,1,15.556293244699964,32.54358944406667,1906,0.1641768032077908,6.993820026016113,0.05622255476606254,Intact,7,16,37
0,2,15.556293244699964,32.55104907344445,200,0.3411767989949311,7.02009524489279,0.22937578364856903,Minor,0,4,4
0,3,15.556293244699964,32.55850870282223,200,0.23181087860546806,7.046755831730394,0.13544987865729535,Minor,0,4,4
0,4,15.556293244699964,32.565968332200015,1787,0.3023354413221361,7.073706766352249,0.16964299318994905,Minor,19,31,88
0,5,15.556293244699964,32.57342796157779,367,0.47951700389285523,7.100820653692662,0.3365765981635975,Moderate,5,17,32
0,6,15.556293244699964,32.58088759095557,200,0.3196324319537215,7.12793061405948,0.2223756068316357,Minor,1,4,7
0,7,15.556293244699964,32.588347220333354,372,0.3801544904659506,7.154822649758039,0.38157697306372096,Moderate,7,7,28
0,8,15.556293244699964,32.59580684971113,1474,0.22709038681936397,7.181228130928563,0.08120767503851693,Intact,4,10,22
0,9,15.556293244699964,32.603266479088916,1221,0.5895571936919155,7.2068175182900145,0.4257780093386514,Moderate,21,69,132
0,10,15.556293244699964,32.61072610846669,634,0.3466457760125303,7.231197037756255,0.24213784952178077,Minor,10,13,43
0,11,15.556293244699964,32.61818573784447,200,0.4141933032379214,7.253910640684605,0.2945084885596729,Minor,1,10,13
0,12,15.556293244699964,32.625645367222255,401,0.43200779162787106,7.2744499910518305,0.381317155817028,Moderate,5,14,29
0,13,15.556293244699964,32.63310499660003,1554,0.49112686223852753,7.292275032520141,0.3430791973426811,Moderate,33,57,156
0,14,15.556293244699964,32.64056462597782,626,0.49477065540938026,7.306846446398886,0.34913414384350433,Moderate,4,36,48
0,15,15.556293244699964,32.648024255355594,1078,0.43231119267288864,7.317668732965867,0.33772459013795864,Moderate,23,48,117
0,16,15.556293244699964,32.65548388473337,2737,0.2702633941717837,7.324339017835854,0.102646966054045,Minor,15,54,99
0,17,15.556293244699964,32.662943514111156,436,0.3708049070553323,7.326593150440648,0.2516168357650894,Minor,5,14,29
0,18,15.556293244699964,32.67040314348893,3289,0.4401540474267367,7.324339017835854,0.3228198698962681,Moderate,40,204,324
0,19,15.556293244699964,32.67786277286672,2302,0.4208480800019849,7.317668732965867,0.35010083595761343,Moderate,62,75,261
0,20,15.556293244699964,32.685322402244495,1029,0.45337700796804714,7.306846446398886,0.42845489368121326,Moderate,20,87,147
0,21,15.556293244699964,32.69278203162228,1756,0.45869984047076584,7.292275032520141,0.4306201799551356,Moderate,26,129,207
0,22,15.556293244699964,32.70024166100006,200,0.5606605971656468,7.2744499910518305,0.4544472272904936,Moderate,5,7,22
0,23,15.556293244699964,32.707701290377834,200,0.43377647152314447,7.253910640684605,0.281649017173671,Minor,1,3,6
0,24,15.556293244699964,32.71516091975562,1637,0.34078993781245626,7.231197037756255,0.23063373001359214,Minor,21,31,94
0,25,15.556293244699964,32.722620549133396,1769,0.18847841357551112,7.2068175182900145,0.19559057407757735,Minor,25,52,127
0,26,15.556293244699964,32.73008017851118,358,0.253989367035398,7.181228130928563,0.16184437409915756,Minor,4,10,22
0,27,15.556293244699964,32.73753980788896,855,0.43477863386530324,7.154822649758039,0.24397198532815842,Minor,9,15,42
0,28,15.556293244699964,32.744999437266735,2446,0.2941952131789336,7.12793061405948,0.160548505355331,Minor,19,52,109
0,29,15.556293244699964,32.75245906664452,1094,0.1571274436681977,7.100820653692662,0.12035545219183881,Minor,3,23,32
1,0,15.563479734099891,32.53612981468889,605,0.14656228774675212,6.985777126972284,0.11890227862481517,Minor,4,13,25
1,1,15.563479734099891,32.54358944406667,1141,0.2311560081037859,7.013109006857741,0.16785957295115927,Minor,14,17,59
1,2,15.563479734099891,32.55104907344445,2044,0.1994070247973857,7.041057945417503,0.07015086526314168,Intact,7,24,45
1,3,15.563479734099891,32.55850870282223,200,0.41398461086655347,7.069570572848772,0.2304966185490947,Minor,3,8,17
1,4,15.563479734099891,32.565968332200015,200,0.31591750083979925,7.098566521087868,0.21455348193482304,Minor,1,2,5
1,5,15.563479734099891,32.57342796157779,200,0.29746332363898803,7.12793061405948,0.3057509659304318,Moderate,0,8,8
1,6,15.563479734099891,32.58088759095557,754,0.47457321872341957,7.157503495026762,0.3693477129054528,Moderate,21,54,117
1,7,15.563479734099891,32.588347220333354,610,0.5369253831204943,7.187070814248252,0.3540011382581216,Moderate,10,13,43
1,8,15.563479734099891,32.59580684971113,1328,0.14201265724217266,7.216351492427117,0.12975088505146018,Minor,9,15,42
1,9,15.563479734099891,32.603266479088916,1822,0.4355743814291499,7.244986223209825,0.359806109030479,Moderate,21,53,116
1,10,15.563479734099891,32.61072610846669,1455,0.4186370327578865,7.27252832847838,0.37261335259505063,Moderate,8,70,94
1,11,15.563479734099891,32.61818573784447,1420,0.46513807678016095,7.29844028020516,0.32870051046545773,Moderate,15,71,116
1,12,15.563479734099891,32.625645367222255,2803,0.46838203969113246,7.322100377673758,0.328316245452254,Moderate,65,123,318
1,13,15.563479734099891,32.63310499660003,1007,0.524349997933037,7.34282459414478,0.34531961322016813,Moderate,13,32,71
1,14,15.563479734099891,32.64056462597782,1361,0.4798786773491622,7.359907505281958,0.3471496606865901,Moderate,20,86,146
1,15,15.563479734099891,32.648024255355594,2377,0.3304006895321414,7.372682509756043,0.282549457629596,Minor,31,118,211
1,16,15.563479734099891,32.65548388473337,1740,0.46315551293312485,7.380595146506025,0.3969898860663401,Moderate,12,49,85
1,17,15.563479734099891,32.662943514111156,557,0.28008727665786926,7.383275991774748,0.16847808781086063,Minor,4,8,20
1,18,15.563479734099891,32.67040314348893,2187,0.42234292866964196,7.380595146506025,0.2830403607405396,Minor,21,115,178
1,19,15.563479734099891,32.67786277286672,561,0.5257757652773165,7.372682509756043,0.4323757419696995,Moderate,3,35,44
1,20,15.563479734099891,32.685322402244495,640,0.3502041187132884,7.359907505281958,0.24953383782975613,Minor,9,11,38
1,21,15.563479734099891,32.69278203162228,2355,0.4649216481639773,7.34282459414478,0.42649314364581814,Moderate,39,170,287
1,22,15.563479734099891,32.70024166100006,1606,0.21785452720057114,7.322100377673758,0.16747025315726585,Minor,12,31,67
1,23,15.563479734099891,32.707701290377834,200,0.26515918088235124,7.29844028020516,0.1778171444064957,Minor,2,2,8
1,24,15.563479734099891,32.71516091975562,1283,0.4795330669908887,7.27252832847838,0.3239960047147822,Moderate,27,28,109
1,25,15.563479734099891,32.722620549133396,1328,0.3946401491821604,7.244986223209825,0.25151977927280195,Minor,14,37,79
1,26,15.563479734099891,32.73008017851118,1611,0.4748537231642638,7.216351492427117,0.34232197228687455,Moderate,35,75,180
1,27,15.563479734099891,32.73753980788896,1253,0.2960818128900035,7.187070814248252,0.21816142310169181,Minor,19,19,76
1,28,15.563479734099891,32.744999437266735,200,0.29688338170144135,7.157503495026762,0.2363324141341296,Minor,3,7,16
1,29,15.563479734099891,32.75245906664452,200,0.41250863152671513,7.12793061405948,0.22835409957100078,Minor,1,2,5
2,0,15.57066622349982,32.53612981468889,346,0.2257504223096868,7.002902818517804,0.16014790576124413,Minor,3,5,14
2,1,15.57066622349982,32.54358944406667,1033,0.24124333593404113,7.031777521032429,0.1726878371416513,Minor,12,17,53
2,2,15.57066622349982,32.55104907344445,566,0.5043644557597899,7.06145249877793,0.39111449121189196,Moderate,5,16,31
