row,col,lat,lon,elevation,population,pm25,no2,pm25_ugm3,no2_ugm3,pm25_exceeds,no2_exceeds,aqi_class,health_burden,aqi_color
0,0,3.8493474667624863,11.50345051135981,604.9750013884172,58,3033.0101675357473,2442.2516639873934,89.46051826990994,107.3483623653074,True,True,Unhealthy,0.005188710059654776,#b71c1c
0,1,3.8493474667624863,11.50615153407943,604.929367788472,77,2780.2844843901134,2291.255902414653,82.6728176055607,101.32965826123905,True,True,Unhealthy,0.006365806955628174,#b71c1c
0,2,3.8493474667624863,11.508852556799049,604.7016620635779,236,2519.6256672680747,2127.421485129464,75.67204900885184,94.79920423106425,True,True,Unhealthy,0.017858603566089034,#b71c1c
0,3,3.8493474667624863,11.511553579518669,604.3210769528306,50,2260.378740347074,1955.5417037720258,68.70920092713096,87.94806129375718,True,True,Unhealthy,0.0034354600463565484,#b71c1c
0,4,3.8493474667624863,11.514254602238289,603.8308403348738,352,2009.3857737966746,1779.2478923051995,61.96803752578647,80.92097473486666,True,True,Unhealthy,0.02181274920907684,#b71c1c
0,5,3.8493474667624863,11.516955624957907,603.2875971232666,185,1771.2222071756837,1601.3531748109158,55.57144585668602,73.83007592338492,True,True,Unhealthy,0.010280717483486914,#b71c1c
0,6,3.8493474667624863,11.519656647677527,602.7506110854313,50,1548.6510779148168,1424.2583411868623,49.593635516458846,66.77106055208976,True,True,Unhealthy for Sensitive,0.002479681775822942,#ef6c00
0,7,3.8493474667624863,11.522357670397147,602.2787136833833,239,1343.1359546011045,1250.2884039736389,44.073914997011514,59.836603821757464,True,True,Unhealthy for Sensitive,0.010533665684285752,#ef6c00
0,8,3.8493474667624863,11.525058693116765,601.917451022669,58,1155.292505736883,1081.8749461565671,39.02881990901212,53.1236288402998,True,True,Unhealthy for Sensitive,0.002263671554722703,#ef6c00
0,9,3.8493474667624863,11.527759715836385,601.6960784115581,363,985.2155205571092,921.5593415955063,34.46089609958267,46.73343498937485,True,True,Moderate,0.01250930528414851,#f9a825
0,10,3.8493474667624863,11.530460738556005,601.6167299328348,269,832.672645539561,771.8466241341121,30.363903023094693,40.765873134454594,True,True,Moderate,0.008167889913212472,#f9a825
0,11,3.8493474667624863,11.533161761275624,601.662175844636,576,634.6992507315737,590.8616227583352,25.04673807675527,33.551795340420284,True,True,Moderate,0.014426921132211034,#f9a825
0,12,3.8493474667624863,11.535862783995244,601.7948033031498,133,539.4445468067793,485.3934830388063,22.48838939978232,29.34782617753365,True,True,Moderate,0.002990955790171049,#f9a825
0,13,3.8493474667624863,11.538563806714864,601.9674055636303,200,451.25946573103033,389.59312524387667,20.119916492900824,25.529215637569635,True,True,Moderate,0.004023983298580165,#f9a825
